Title,BSR,Price in £ (starting from),Author,ASIN,ISBN-10,ISBN-13,URL
Techniques of Neurolysis,"560,526",122.32,Gabor Racz,3319276050, 3319276050, 978-3319276052,https://www.amazon.co.uk/Techniques-Neurolysis-Gabor-Racz/dp/3319276050/ref=sr_1_549?s=books&ie=UTF8&qid=1540479047&sr=1-549&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
American Cinematographer Manual 10TH Edition,"728,057",371.32,Michael Goi,1467568309, 1467568309, 978-1467568302,https://www.amazon.co.uk/American-Cinematographer-Manual-10TH-Michael/dp/1467568309/ref=sr_1_547?s=books&ie=UTF8&qid=1540479047&sr=1-547&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Textbook of Critical Care, 7e","453,184",173.33,Jean-Louis Vincent MD  PhD,032337638X, 9780323376389, 978-0323376389,https://www.amazon.co.uk/Textbook-Critical-Care-Jean-Louis-Vincent/dp/032337638X/ref=sr_1_546?s=books&ie=UTF8&qid=1540479047&sr=1-546&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Transrational Resonances: Echoes to the Many Peaces,"553,906",116.22,Josefina Echavarría Alvarez,3319706152, 9783319706153, 978-3319706153,https://www.amazon.co.uk/Transrational-Resonances-Echoes-Many-Peaces/dp/3319706152/ref=sr_1_545?s=books&ie=UTF8&qid=1540479047&sr=1-545&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Transrational Resonances: Echoes to the Many Peaces,"553,906",116.22,Josefina Echavarría Alvarez,3319706152, 9783319706153, 978-3319706153,https://www.amazon.co.uk/Transrational-Resonances-Echoes-Many-Peaces/dp/3319706152/ref=sr_1_543?s=books&ie=UTF8&qid=1540479032&sr=1-543&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Databook of Blowing and Auxiliary Agents,"410,664",252.92,George Wypych,1927885191, 1927885191, 978-1927885192,https://www.amazon.co.uk/Databook-Blowing-Auxiliary-Agents-George/dp/1927885191/ref=sr_1_542?s=books&ie=UTF8&qid=1540479032&sr=1-542&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Regional Nerve Blocks in Anesthesia and Pain Therapy: Traditional and Ultrasound-Guided Techniques,"680,962",132.00,Danilo Jankovic,331905130X, 331905130X, 978-3319051307,https://www.amazon.co.uk/Regional-Nerve-Blocks-Anesthesia-Therapy/dp/331905130X/ref=sr_1_536?s=books&ie=UTF8&qid=1540479032&sr=1-536&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Annals of the Caliphs' Kitchens: Ibn Sayyar Al-Warraq's Tenth-century Baghdadi Cookbook (Islamic History & Civilization) English Translation with Introduction and Glossary,"658,167",276.83,Nawal Nasrallah,9004158677, 9004158677, 978-9004158672,https://www.amazon.co.uk/Annals-Caliphs-Kitchens-Tenth-century-Civilization/dp/9004158677/ref=sr_1_535?s=books&ie=UTF8&qid=1540479032&sr=1-535&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Pyrolysis - GC/MS Data Book of Synthetic Polymers: Pyrograms, Thermograms and MS of Pyrolyzates","691,137",197.38,Shin Tsuge,0444538925, 0444538925, 978-0444538925,https://www.amazon.co.uk/Pyrolysis-Synthetic-Pyrograms-Thermograms-Pyrolyzates/dp/0444538925/ref=sr_1_532?s=books&ie=UTF8&qid=1540479032&sr=1-532&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Freshwater Prawns: Biology and Farming,"630,826",263.91,Michael  Bernard New,1405148616, 1405148616, 978-1405148610,https://www.amazon.co.uk/Freshwater-Prawns-Michael-Bernard-New/dp/1405148616/ref=sr_1_530?s=books&ie=UTF8&qid=1540479032&sr=1-530&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Ottomans, Hungarians, and Habsburgs in Central Europe: The Military Confines in the Era of Ottoman Conquest (Ottoman Empire & its Heritage)","605,503",338.38,Pál Fodor,9004119078, 9004119078, 978-9004119079,https://www.amazon.co.uk/Ottomans-Hungarians-Habsburgs-Central-Europe/dp/9004119078/ref=sr_1_529?s=books&ie=UTF8&qid=1540479032&sr=1-529&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Fountain Pens of Japan,"698,721",166.68,Andreas Lambrou,0957172303, 0957172303, 978-0957172302,https://www.amazon.co.uk/Fountain-Pens-Japan-Andreas-Lambrou/dp/0957172303/ref=sr_1_525?s=books&ie=UTF8&qid=1540479013&sr=1-525&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Commentary on the 1969 Vienna Convention on the Law of Treaties,"556,699",367.09,Mark E. Villiger,9004168044, 9004168044, 978-9004168046,https://www.amazon.co.uk/Commentary-1969-Vienna-Convention-Treaties/dp/9004168044/ref=sr_1_524?s=books&ie=UTF8&qid=1540479013&sr=1-524&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Serge Lutens: Berlin a Paris,"599,969",217.26,Patrick Nagel,883709177X, 883709177X, 978-8837091774,https://www.amazon.co.uk/Serge-Lutens-Berlin-Patrick-Nagel/dp/883709177X/ref=sr_1_521?s=books&ie=UTF8&qid=1540479013&sr=1-521&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Coral Snakes of the Americas: Biology, Identification, Venoms","635,769",125.92,Janis A. Roze,0894648470, 0894648470, 978-0894648472,https://www.amazon.co.uk/Coral-Snakes-Americas-Biology-Identification/dp/0894648470/ref=sr_1_515?s=books&ie=UTF8&qid=1540479013&sr=1-515&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Handbook of Research Methods for Tourism and Hospitality Management (Handbooks of Research Methods in Management Series),"691,559",137.49,Robin Nunkoo,1785366270, 1785366270, 978-1785366277,https://www.amazon.co.uk/Handbook-Research-Hospitality-Management-Handbooks/dp/1785366270/ref=sr_1_514?s=books&ie=UTF8&qid=1540479013&sr=1-514&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Israelite Religion and Biblical Theology: Collected Essays (JSOT Supplement),"536,792",102.28,Patrick D. Jr. Miller,184127142X, 9781841271422, 978-1841271422,https://www.amazon.co.uk/Israelite-Religion-Biblical-Theology-Supplement/dp/184127142X/ref=sr_1_513?s=books&ie=UTF8&qid=1540479013&sr=1-513&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
"Coral Snakes of the Americas: Biology, Identification, Venoms","635,769",125.92,Janis A. Roze,0894648470, 0894648470, 978-0894648472,https://www.amazon.co.uk/Coral-Snakes-Americas-Biology-Identification/dp/0894648470/ref=sr_1_510?s=books&ie=UTF8&qid=1540478994&sr=1-510&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
Israelite Religion and Biblical Theology: Collected Essays (JSOT Supplement),"536,792",102.28,Patrick D. Jr. Miller,184127142X, 9781841271422, 978-1841271422,https://www.amazon.co.uk/Israelite-Religion-Biblical-Theology-Supplement/dp/184127142X/ref=sr_1_509?s=books&ie=UTF8&qid=1540478994&sr=1-509&refinements=p_n_binding_browse-bin%3A492563011%2Cp_36%3A10000-100000
