Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL,
Tchaikovsky's Complete Songs: A Companion with Texts and Translations (Russian Music Studies),"1,357,239",802.66,Richard D. Sylvester,Paperback,253216761,253216761,978-0253216762,https://www.amazon.co.uk/Tchaikovskys-Complete-Songs-Companion-Translations/dp/0253216761/ref=sr_1_747?s=books&ie=UTF8&qid=1540737111&sr=1-747&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Scarborough Then & Now,"990,673",916.67,Colin Waters,Paperback,075243618X,075243618X,978-0752436180,https://www.amazon.co.uk/Scarborough-Then-Now-Colin-Waters/dp/075243618X/ref=sr_1_730?s=books&ie=UTF8&qid=1540737093&sr=1-730&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
War Came to Honeypot Lane,"1,493,824",930.99,Vera Blanche Bird,Paperback,1872424899,1872424899,978-1872424897,https://www.amazon.co.uk/Came-Honeypot-Lane-Vera-Blanche/dp/1872424899/ref=sr_1_711?s=books&ie=UTF8&qid=1540737079&sr=1-711&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Motherhood In Ireland,"1,319,635",959.64,Patricia Kennedy,Paperback,1856354229,1856354229,978-1856354226,https://www.amazon.co.uk/Motherhood-Ireland-Patricia-Kennedy/dp/1856354229/ref=sr_1_687?s=books&ie=UTF8&qid=1540737042&sr=1-687&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
The Absolute at Large,"1,061,179",773.99,Karel Capek,Paperback,1773230727,1773230727,978-1773230726,https://www.amazon.co.uk/Absolute-at-Large-Karel-Capek/dp/1773230727/ref=sr_1_648?s=books&ie=UTF8&qid=1540737005&sr=1-648&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Sonata in E flat, Op. 120, No. 2 for Clarinet and Piano","1,149,472",993.84,J Brahms,Paperback,B003VSXLTK,Not available,Not available,https://www.amazon.co.uk/Sonata-flat-Op-Clarinet-Piano/dp/B003VSXLTK/ref=sr_1_633?s=books&ie=UTF8&qid=1540736988&sr=1-633&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
The Trackers of Oxyrhynchus,"886,379",819.99,Tony Harrison,Paperback,571163068,9780571163069,978-0571163069,https://www.amazon.co.uk/Trackers-Oxyrhynchus-Tony-Harrison/dp/0571163068/ref=sr_1_631?s=books&ie=UTF8&qid=1540736988&sr=1-631&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Human Space Flight (Space Technology Series),"1,905,455",769.85,Larson,Paperback,007236811X,007236811X,978-0072368116,https://www.amazon.co.uk/Human-Space-Flight-Technology/dp/007236811X/ref=sr_1_622?s=books&ie=UTF8&qid=1540736971&sr=1-622&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
Toyland Tunes. Book 1,"1,080,921",984.86,Adam Carse,Paperback,B003VSQZ7K,Not available,Not available,https://www.amazon.co.uk/Toyland-Tunes-Book-Adam-Carse/dp/B003VSQZ7K/ref=sr_1_619?s=books&ie=UTF8&qid=1540736971&sr=1-619&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
"Six Short Preludes and Postludes. First Set, Op 101","986,904",982.05,Charles Villiers Stanford,Paperback,B003VSQY1M,Not available,Not available,https://www.amazon.co.uk/Six-Short-Preludes-Postludes-First/dp/B003VSQY1M/ref=sr_1_598?s=books&ie=UTF8&qid=1540736954&sr=1-598&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A75000-99800
