Title,BSR,Price in £ (starting from),Author,Book TypeASIN,ISBN-10,ISBN-13,URL
Max for Live Ultimate Zen Guide: Become a Max for Live Master and discover a new way of using Ableton Live,"1,755,614","2,026.99",Julien Bayle,Paperback,2954690976, 2954690976, 978-2954690971,https://www.amazon.co.uk/Max-Live-Ultimate-Zen-Guide/dp/2954690976/ref=sr_1_84?s=books&ie=UTF8&qid=1540557709&sr=1-84&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Crunch and Munch Workbook (Collins Big Cat),"2,584,302","2,562.99",Not Known,Paperback,0007474423, 9780007474424, 978-0007474424,https://www.amazon.co.uk/Crunch-Munch-Workbook-Collins-Big/dp/0007474423/ref=sr_1_83?s=books&ie=UTF8&qid=1540557709&sr=1-83&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
King Series Collection: King & Tyrant,"1,262,563","2,262.99",T.M. Frazier,Paperback,1682306801, 1682306801, 978-1682306802,https://www.amazon.co.uk/King-Collection-Tyrant-T-M-Frazier/dp/1682306801/ref=sr_1_77?s=books&ie=UTF8&qid=1540557696&sr=1-77&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
ProVision Series 5,"2,880,592","2,281.97",Stephen R. Russell,Paperback,1615253211, 1615253211, 978-1615253210,https://www.amazon.co.uk/ProVision-5-Stephen-R-Russell/dp/1615253211/ref=sr_1_73?s=books&ie=UTF8&qid=1540557696&sr=1-73&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
What Has Government Done to Our Money?,"1,576,897","2,211.99",Murray N. Rothbard,Paperback,1987817931, 1987817931, 978-1987817935,https://www.amazon.co.uk/What-Has-Government-Done-Money/dp/1987817931/ref=sr_1_59?s=books&ie=UTF8&qid=1540557681&sr=1-59&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Topsy Turvy Christmas: A Musical Play for Christmas (Ks2),"1,043,171","2,206.00",Mrs Lucy Moore,Paperback,1841013404, 1841013404, 978-1841013404,https://www.amazon.co.uk/Topsy-Turvy-Christmas-Musical-Play/dp/1841013404/ref=sr_1_58?s=books&ie=UTF8&qid=1540557681&sr=1-58&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Hablar solos (Narrativa (Punto de Lectura)),"1,115,606","2,487.99",Andres Neuman,Paperback,8466327487, 8466327487, 978-8466327480,https://www.amazon.co.uk/Hablar-solos-Narrativa-Punto-Lectura/dp/8466327487/ref=sr_1_57?s=books&ie=UTF8&qid=1540557681&sr=1-57&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Big Book,"2,146,184","2,571.99",Thomas Bayrle,Paperback,3883751707, 3883751707, 978-3883751702,https://www.amazon.co.uk/Big-Book-Thomas-Bayrle/dp/3883751707/ref=sr_1_53?s=books&ie=UTF8&qid=1540557681&sr=1-53&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"Four Ainsty Townships: The History of Bolton Percy, Appleton Roebuck, Colton and Steeton, 1066-1875","1,460,037","2,940.99",Marjorie J. Harrison,Paperback,0953827801, 0953827801, 978-0953827800,https://www.amazon.co.uk/Four-Ainsty-Townships-Appleton-1066-1875/dp/0953827801/ref=sr_1_52?s=books&ie=UTF8&qid=1540557681&sr=1-52&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
"Project X Origins: Gold Book Band, Oxford Level 9: Communication: Message in an X-bot","911,520","2,083.99",Tony Bradman,Paperback,0198302037, 0198302037, 978-0198302032,https://www.amazon.co.uk/Project-Origins-Oxford-Communication-Message/dp/0198302037/ref=sr_1_42?s=books&ie=UTF8&qid=1540557663&sr=1-42&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Revolting Rhymes (Read & Respond),"613,071","2,757.99",Gill Friel,Paperback,1407118498, 1407118498, 978-1407118499,https://www.amazon.co.uk/Revolting-Rhymes-Read-Respond-Friel/dp/1407118498/ref=sr_1_40?s=books&ie=UTF8&qid=1540557663&sr=1-40&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Child in the City (Society today),"753,775","2,861.99",Colin Ward,Paperback,0719912598, 0719912598, 978-0719912597,https://www.amazon.co.uk/Child-City-Society-today/dp/0719912598/ref=sr_1_36?s=books&ie=UTF8&qid=1540557663&sr=1-36&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Trope Donna: Beauty Shots,"1,497,678","2,644.99",Stephane Guibourge,Paperback,2914171072, 2914171072, 978-2914171076,https://www.amazon.co.uk/Trope-Donna-Beauty-Stephane-Guibourge/dp/2914171072/ref=sr_1_35?s=books&ie=UTF8&qid=1540557663&sr=1-35&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
Focus on Literacy (37) – Homework Book 5: Homework Bk.5,"885,496","2,910.99",Barry Scholes,Paperback,0003025152, 0003025152, 978-0003025156,https://www.amazon.co.uk/Focus-Literacy-37-Homework-Book/dp/0003025152/ref=sr_1_31?s=books&ie=UTF8&qid=1540557644&sr=1-31&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Life and Evil Times of Nicolae Ceausescu,"752,364","2,587.99",John Sweeney,Paperback,0091753171, 0091753171, 978-0091753177,https://www.amazon.co.uk/Life-Evil-Times-Nicolae-Ceausescu/dp/0091753171/ref=sr_1_30?s=books&ie=UTF8&qid=1540557644&sr=1-30&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
The Illiad (Express Classics),"780,191","2,629.99",Pauline Francis,Paperback,1783220589, 1783220589, 978-1783220588,https://www.amazon.co.uk/Illiad-Express-Classics-Homer/dp/1783220589/ref=sr_1_27?s=books&ie=UTF8&qid=1540557644&sr=1-27&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-300000
