Title,BSR,Price in £ (starting from),Author,Book Type,ASIN,ISBN-10,ISBN-13,URL
Suddenly,"5,101,150","2,000.00",M. E. Tudor,Paperback,985654694,985654694,978-0985654696,https://www.amazon.co.uk/Suddenly-M-Tudor/dp/0985654694/ref=sr_1_408?s=books&ie=UTF8&qid=1540748191&sr=1-408&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
The Story of the Treasure Seekers,"3,749,765","2,000.00",Edith Nesbit,Paperback,1420938339,1420938339,978-1420938333,https://www.amazon.co.uk/Story-Treasure-Seekers-Edith-Nesbit/dp/1420938339/ref=sr_1_406?s=books&ie=UTF8&qid=1540748191&sr=1-406&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Submission in Paradise,"3,967,046","2,000.00",Claire Thompson,Paperback,1494801248,1494801248,978-1494801243,https://www.amazon.co.uk/Submission-Paradise-Claire-Thompson/dp/1494801248/ref=sr_1_403?s=books&ie=UTF8&qid=1540748191&sr=1-403&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Indifferent Heroes,"6,906,554","2,003.99",Hocking Mary,Paperback,9781853816,9781853816,978-9781853814,https://www.amazon.co.uk/Indifferent-Heroes-Hocking-Mary/dp/9781853816/ref=sr_1_397?s=books&ie=UTF8&qid=1540748171&sr=1-397&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
One Warm Fox (Percy the Park Keeper),"6,958,244","2,062.99",Nick Butterworth,Paperback,7115571,7115571,978-0007115570,https://www.amazon.co.uk/One-Warm-Percy-Park-Keeper/dp/0007115571/ref=sr_1_396?s=books&ie=UTF8&qid=1540748171&sr=1-396&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
The Lord of the Rings - Special Edition,"6,459,822","2,011.00",J.R.R. Tolkien,Paperback,7118368,7118368,978-0007118366,https://www.amazon.co.uk/Lord-Rings-Special-J-R-R-Tolkien/dp/0007118368/ref=sr_1_395?s=books&ie=UTF8&qid=1540748171&sr=1-395&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
The Sons of Adam,"8,089,266","2,149.99",Harry Bingham,Paperback,7331142,7331142,978-0007331147,https://www.amazon.co.uk/Sons-Adam-Harry-Bingham/dp/0007331142/ref=sr_1_393?s=books&ie=UTF8&qid=1540748171&sr=1-393&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Cryptography & Network Security,"7,997,706","2,272.99",Behrouz A Forouzan,Paperback,007110223X,007110223X,978-0071102230,https://www.amazon.co.uk/Cryptography-Network-Security-Behrouz-Forouzan/dp/007110223X/ref=sr_1_389?s=books&ie=UTF8&qid=1540748171&sr=1-389&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Fluid Mechanics: Fundamentals and Applications,"9,635,698","2,407.99",Yunus A. Cengel,Paperback,71115668,71115668,978-0071115667,https://www.amazon.co.uk/Fluid-Mechanics-Fundamentals-Yunus-Cengel/dp/0071115668/ref=sr_1_388?s=books&ie=UTF8&qid=1540748171&sr=1-388&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
The Last September (E.S.S),"8,139,105","2,006.99",E. Bowen,Paperback,99418924,99418924,978-0099418924,https://www.amazon.co.uk/Last-September-S-S-Bowen/dp/0099418924/ref=sr_1_382?s=books&ie=UTF8&qid=1540748152&sr=1-382&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
The psychology of sex differences,"6,719,137","2,022.00",Eleanor Emmons Maccoby,Paperback,196904277,196904277,978-0196904276,https://www.amazon.co.uk/psychology-differences-Eleanor-Emmons-Maccoby/dp/0196904277/ref=sr_1_372?s=books&ie=UTF8&qid=1540748152&sr=1-372&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Oxford Reading Tree: Stage 1+: More First Sentences B: One Wheel,"7,748,976","2,000.00",Roderick Hunt,Paperback,198463596,198463596,978-0198463597,https://www.amazon.co.uk/Oxford-Reading-Tree-Stage-Sentences/dp/0198463596/ref=sr_1_371?s=books&ie=UTF8&qid=1540748152&sr=1-371&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
Elementary Statistics,"9,104,524","2,000.00",Mario F. Triola,Paperback,201704668,201704668,978-0201704662,https://www.amazon.co.uk/Elementary-Statistics-Mario-F-Triola/dp/0201704668/ref=sr_1_370?s=books&ie=UTF8&qid=1540748152&sr=1-370&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
The Leadership Challenge Workshop Participant Set,"9,568,997","2,357.66",James M. Kouzes,Paperback,470891769,470891769,978-0470891766,https://www.amazon.co.uk/Leadership-Challenge-Workshop-Participant-Set/dp/0470891769/ref=sr_1_354?s=books&ie=UTF8&qid=1540748132&sr=1-354&refinements=p_n_binding_browse-bin%3A492564011%2Cp_36%3A200000-250000
